#,Song,Artist,Popularity,Genres,Parent Genres,Album,Album Year,Time,Added At
431,Passaggio,Ludovico Einaudi,0,"bow pop, compositional ambient, neo-classical","Classical, New age",Ludovico Einaudi: Le onde,1996,5:48,2021-03-12
432,Claim Your Weapons (feat. Atrel),"Christian Reindl,Atrel",47,"epicore,",Easy listening,PhoeniX,2015,3:02,2021-03-12
433,Inferno,Epic Score,34,epicore,Easy listening,Epic Orchestral Action (Inferno),2019,2:54,2021-03-12
434,Heroes Never Die,David Chappell,43,epicore,Easy listening,Heroes Never Die,2016,3:18,2021-03-12
435,AXIS,Tom Player,39,epicore,Easy listening,Close Your Eyes,2019,3:51,2021-03-12
436,Darkness of Light,Secession Studios,46,epicore,Easy listening,The Untold,2016,2:25,2021-03-12
437,Shadow Warrior,Philipp Beesen,42,,,Memories,2018,3:44,2021-03-12
438,And So My Heart Became a Void,"Ursine Vulpine,Annaca",13,,,Solace,2019,4:53,2021-03-12
439,Zombie,Damned Anthem,47,epicore,Easy listening,Uncovered,2018,2:47,2021-03-12
440,Recovery,Nightcall,14,,,Recovery,2019,4:28,2021-03-12
441,The Way,Zack Hemsey,56,"epicore, scorecore",Easy listening,The Way,2011,7:06,2021-03-12
442,Tear Down the Bridges,IMAscore,42,epicore,Easy listening,Kaleidoscope (End of Silence - Vocal Epic Trailer Music),2017,3:07,2021-03-12
443,Valkyrie,Jo Blankenburg,0,"downtempo, epicore, scorecore, soundtrack","Dance/Electronic, Easy listening",Valkyrie (Original Trailer Music),2016,3:26,2021-03-12
444,The Fear,The Score,64,"modern alternative rock, modern rock",Rock,Pressure,2019,3:03,2021-03-12
445,Monody - Ephixa Remix,"TheFatRat,Laura Brehm,Ephixa",36,"speedrun, chillstep, pop edm, canadian electronic, complextro, edm, electro house, future bass, gaming edm",Dance/Electronic,Classics,2020,3:18,2021-03-12
446,Wildfire,"Egzod,Sarah de Warren",44,"bass trap, gaming edm, pop edm, traprun, indie electropop","Dance/Electronic, Pop",Wildfire,2020,2:29,2021-03-12
447,Death Bed,"Besomorph,Anthony Keyrouz,Lunis",60,"bass trap, slap house, traprun, arab electronic, pop dance, pop edm,",Dance/Electronic,Death Bed,2020,2:22,2021-03-12
448,Hero,Mountains vs. Machines,41,rebel blues,Blues,Elevate,2018,3:12,2021-03-12
449,In the Name of Queen,Demented Sound Mafia,18,epicore,Easy listening,Dream World,2016,2:59,2021-03-12
450,Onward & Upward,"Tommee Profitt,Fleurie",39,"anthem worship, nashville singer-songwriter","Folk/Acoustic, Country",Gloria Regali,2019,3:30,2021-03-12
451,When It All Falls Down,Audiomachine,43,"epicore, scorecore, video game music",Easy listening,Magnus,2015,4:07,2021-03-12
452,Sound Of War,"Tommee Profitt,Fleurie",40,"anthem worship, nashville singer-songwriter","Folk/Acoustic, Country",Gloria Regali,2019,4:07,2021-03-12
453,Hungry Like The Wolf - 2020 Remaster,"Hidden Citizens,Tim Halperin",42,"epicore, modern alternative rock, indiecoustica, neo mellow","Easy listening, Folk/Acoustic, Rock",Hungry Like The Wolf (2020 Remaster),2020,3:30,2021-03-12
454,Ageless Empires,Immediate,0,"epicore, scorecore, soundtrack, video game music",Easy listening,Trailerhead: Triumph,2012,2:50,2021-03-12
455,Palladio,Escala,45,"bow pop, pop violin","Classical, New age",Escala,2009,3:54,2021-03-12
456,Requiem for a Dream,32Stitches,44,pop edm,,Requiem for a Dream,2020,3:47,2021-03-12
457,Dystopia,Hi-Finesse,44,epicore,Easy listening,Dystopia,2017,2:47,2021-03-12
458,All That You Are (From "Lost Ember"),Solid Audioworks,42,,,All That You Are (From "Lost Ember"),2017,3:31,2021-03-12
459,Symphony No. 5 - Epic Trailer Version,Hidden Citizens,37,"epicore, modern alternative rock","Easy listening, Rock",Revivals,2018,3:36,2021-03-12
460,Blaze of Glory,Epic Score,35,epicore,Easy listening,Blaze of Glory - ES030,2014,2:33,2021-03-12
461,Dance of the Pixies,Machinimasound,33,,,Dance of the Pixies,2019,3:26,2021-03-12
462,Rising Sun,Fringe Element,34,epicore,Easy listening,Evolution,2014,2:27,2021-03-12
463,King of the World,WAR*HALL,53,"modern alternative rock, rebel blues","Rock, Blues",King of the World,2018,3:39,2021-03-12
464,Heroes,Zayde Wølf,61,"modern alternative rock, rebel blues","Rock, Blues",Rare Breed,2016,3:42,2021-03-12
465,Doom,Imagine Music,40,epicore,Easy listening,Supreme,2017,3:02,2021-03-12
466,Star Sky,"Two Steps from Hell,Thomas Bergersen",59,"epicore, soundtrack, video game music",Easy listening,Battlecry,2015,5:30,2021-03-12
467,Nobody Wants to Be Alone (feat. Atrel),"Christian Reindl,Atrel",44,"epicore,",Easy listening,Alpha,2017,4:05,2021-03-12
468,Gloria Regali,"Tommee Profitt,Fleurie",45,"anthem worship, nashville singer-songwriter","Folk/Acoustic, Country",Gloria Regali,2019,3:24,2021-03-12
469,Into the Fire - Epic Remix,"Christian Reindl,Lloren",35,"epicore,",Easy listening,Into the Void,2020,3:11,2021-03-12
470,Space Man,Eurielle,42,epicore,Easy listening,Space Man,2017,4:33,2021-03-12
471,The Day the Earth Collapsed,IMAscore,28,epicore,Easy listening,Kaleidoscope (End of Silence - Vocal Epic Trailer Music),2017,2:46,2021-03-12
472,The King of the Highlands,Antti Martikainen,44,epicore,Easy listening,The Last Chronicle,2014,8:15,2021-03-12
473,Paint It Black - Epic Trailer Version,"Hidden Citizens,Rånya",56,"epicore, modern alternative rock,","Easy listening, Rock",Reawakenings Vol. 2,2019,3:50,2021-03-12
474,Human Legacy,Iván Torrent,47,epicore,Easy listening,Reverie - The Compilation Album,2014,4:58,2021-03-12
475,Endless Bonds and Broken Promises,Krale,37,gaming edm,Dance/Electronic,Endless Bonds and Broken Promises,2018,3:26,2021-03-12
476,Jenny of Oldstones,"Freya Catherine,Jack Green",18,,,Freya Vol. 3,2019,2:38,2021-03-12
477,Black Cauldron,Audiomachine,30,"epicore, scorecore, video game music",Easy listening,Chronicles,2012,3:28,2021-03-12
478,Cities of Dust,Audiomachine,24,"epicore, scorecore, video game music",Easy listening,Volturnus,2018,2:16,2021-03-12
479,Above and Beyond,Audiomachine,46,"epicore, scorecore, video game music",Easy listening,Tree of Life,2013,2:53,2021-03-12
480,Tokyo Rain,Marcus Warner,50,epicore,Easy listening,39 Seconds,2018,5:21,2021-03-12
481,The One to Survive,"Hidden Citizens,Josh Bruce Williams",48,"epicore, modern alternative rock,","Easy listening, Rock",Obsidian,2018,3:26,2021-03-12
482,Torsion,Mark Petrie,43,epicore,Easy listening,Big Sky,2018,2:57,2021-03-12
483,Becoming a Legend,John Dreamer,46,epicore,Easy listening,Becoming a Legend,2012,3:36,2021-03-12
484,Für Elise - Epic Trailer Version,Hidden Citizens,45,"epicore, modern alternative rock","Easy listening, Rock",Revivals,2018,3:57,2021-03-12
485,Frostpunk Theme,Piotr Musiał,48,video game music,Easy listening,Frostpunk (Original Soundtrack),2018,3:06,2021-03-12
486,The City Must Survive,Piotr Musiał,47,video game music,Easy listening,Frostpunk (Original Soundtrack),2018,4:10,2021-03-12
487,The Light Between Us,Audiomachine,25,"epicore, scorecore, video game music",Easy listening,Another Sky,2020,2:44,2021-03-12
488,Nobody Wants to Be Alone (Instrumental),Christian Reindl,27,epicore,Easy listening,"Instrumentals, Vol. 1",2018,4:05,2021-03-12
489,Freaks Like Us,Sleeping Wolf,49,"indie poptimism, modern alternative rock","Pop, Rock",Freaks Like Us,2018,3:06,2021-03-12
490,Heroes Never Die,"UNSECRET,Krigarè",43,"rebel blues,",Blues,Heroes Never Die,2019,3:05,2021-03-12
491,All For One,"Hidden Citizens,Hael",41,"epicore, modern alternative rock,","Easy listening, Rock",All For One,2020,3:35,2021-03-12
492,We All Lift Together,"Freya Catherine,Jack Green",49,,,Freya Vol. 3,2019,3:33,2021-03-12
493,RISE,"League of Legends,The Glitch Mob,Mako,The Word Alive",75,"speedrun, video game music, edm, electro house, glitch, glitch hop, indietronica, electropop, indie poptimism, pop dance, pop edm, progressive electro house, tropical house, melodic metalcore, metalcore, post-screamo, screamo, trancecore","Dance/Electronic, Pop, New age, Metal, Rock, Easy listening",RISE,2018,3:12,2021-03-12
494,Bring Home The Glory,"League of Legends,Sara Skinner",55,"speedrun, video game music,",Easy listening,Bring Home The Glory,2019,2:59,2021-03-12
495,The Wolven Storm (Priscilla's Song),Malukah,37,"epicore, video game music",Easy listening,The Wolven Storm (Priscilla's Song),2016,4:01,2021-03-12
496,Divine Hammer,Audiomachine,32,"epicore, scorecore, video game music",Easy listening,Volturnus,2018,2:32,2021-03-12
497,The Untold,Secession Studios,57,epicore,Easy listening,The Untold,2016,3:11,2021-03-12
498,Soothsayer,Zack Hemsey,47,"epicore, scorecore",Easy listening,Nomad,2016,6:09,2021-03-12
499,Overcome,Kamikaze Kitty,35,,,Step into the Light,2019,3:04,2021-03-12
500,Hunt or Be Hunted (From "The Witcher 3: Wild Hunt"),"FalKKonE,Rena",22,"otacore,",Pop,"Intense Symphonic Metal Covers, Vol. 8",2018,2:30,2021-03-12
501,City of the Dead,Eurielle,55,epicore,Easy listening,Arcadia,2015,5:07,2021-03-12
502,Warchief,Epic Score,38,epicore,Easy listening,Epic Orchestral Action (Inferno),2019,2:54,2021-03-12
503,Legends Never Die,"League of Legends,Against The Current",80,"speedrun, video game music, neon pop punk, pixie, pop punk, viral pop","Pop, Rock, Easy listening",Legends Never Die,2017,3:55,2021-03-12
504,Live Like Legends,Ruelle,56,"electropop, indie poptimism, metropopolis, modern alternative rock, pop","Pop, Dance/Electronic, Rock",Madness,2016,3:43,2021-03-12
505,Kallocain,Nightcall,18,,,V,2019,3:48,2021-03-12
506,Dead V,"Nightcall,Dreamhour",43,nightrun,Metal,V,2019,4:11,2021-03-12
507,Victory,"Two Steps from Hell,Thomas Bergersen",66,"epicore, soundtrack, video game music",Easy listening,Battlecry,2015,5:20,2021-03-12
508,Godspeed,Audiomachine,37,"epicore, scorecore, video game music",Easy listening,Magnus: B-Sides,2016,2:43,2021-03-12
509,Strength to Believe,Epic Score,51,epicore,Easy listening,Strength To Believe - ES029,2014,2:04,2021-03-12
510,Hero,Mountains vs. Machines,0,rebel blues,Blues,Elevate,2018,3:12,2021-03-12
511,String Theories,Jordan Gagne,26,,,String Theories,2019,3:06,2021-03-12
512,Sis Puella Magica!,Rachel Rose Mitchell,22,otacore,Pop,The Unfortunate Encounter With The Flesh-Eating Zombies,2015,5:21,2021-03-12
513,The Phoenix,Lindsey Stirling,47,"bow pop, pop violin","Classical, New age",Brave Enough (Deluxe Edition),2016,4:04,2021-03-12
514,Falling Down,Tom Wilson,38,,,Falling Down,2019,2:50,2021-03-12
515,Wherever I Go,NALYRO,17,lithuanian edm,,Wherever I Go,2019,2:43,2021-03-12
516,Hill House,Audiomachine,22,"epicore, scorecore, video game music",Easy listening,Another Sky,2020,2:14,2021-03-12
517,Dark Side,Bellabeth,26,,,Dark Side,2018,3:52,2021-03-12
518,Restlessness,Audiomachine,23,"epicore, scorecore, video game music",Easy listening,La Belle Époque,2018,1:57,2021-03-12
519,Barren History,Audiomachine,23,"epicore, scorecore, video game music",Easy listening,La Belle Époque,2018,2:58,2021-03-12
520,Ninurta,Audiomachine,32,"epicore, scorecore, video game music",Easy listening,Ascendance,2018,3:01,2021-03-12
521,Kneel Before the Crown,Audiomachine,36,"epicore, scorecore, video game music",Easy listening,Another Sky,2020,2:33,2021-03-12
522,The Shores of Forgiveness,Audiomachine,25,"epicore, scorecore, video game music",Easy listening,La Belle Époque,2018,3:19,2021-03-12
523,Pulled Apart,Audiomachine,23,"epicore, scorecore, video game music",Easy listening,La Belle Époque,2018,2:11,2021-03-12
524,Secrets of the Sanctuary,Audiomachine,25,"epicore, scorecore, video game music",Easy listening,La Belle Époque,2018,2:40,2021-03-12
525,I Will Stand,Audiomachine,25,"epicore, scorecore, video game music",Easy listening,Trailerized: Covers and Originals,2019,3:42,2021-03-12
526,Let's Pretend,Audiomachine,25,"epicore, scorecore, video game music",Easy listening,La Belle Époque,2018,2:40,2021-03-12
527,Stratagem,Audiomachine,24,"epicore, scorecore, video game music",Easy listening,La Belle Époque,2018,2:00,2021-03-12
528,No Matter What,Audiomachine,24,"epicore, scorecore, video game music",Easy listening,Life,2017,3:01,2021-03-12
529,The Storm,"Secession Studios,Greg Dombrowski",40,"epicore,",Easy listening,Epoch,2019,4:21,2021-03-12
530,El Dorado,"Thomas Bergersen,Two Steps from Hell",54,"epicore, soundtrack, video game music",Easy listening,SkyWorld,2012,4:14,2021-03-12
531,Prevail,Audiomachine,36,"epicore, scorecore, video game music",Easy listening,Ascendance,2018,3:05,2021-03-12
532,Path to Freedom,Audiomachine,25,"epicore, scorecore, video game music",Easy listening,Chronicles,2012,2:27,2021-03-12
533,The Adventurer's Hymn,Audiomachine,19,"epicore, scorecore, video game music",Easy listening,Worlds of Wonder,2017,2:28,2021-03-12
534,The Falling,Audiomachine,23,"epicore, scorecore, video game music",Easy listening,Life,2017,1:54,2021-03-12
535,Mortal Gods,"Matt Foundling,Stuart Roslyn,Audiomachine",19,"epicore, scorecore, video game music",Easy listening,Exogenesis,2019,2:58,2021-03-12
536,The Gallows,Audiomachine,30,"epicore, scorecore, video game music",Easy listening,La Belle Époque,2018,2:05,2021-03-12
537,Scherzo Molto Vivace from Symphony No. 9,Audiomachine,22,"epicore, scorecore, video game music",Easy listening,Reimagined,2020,2:53,2021-03-12
538,Have Patience,Audiomachine,21,"epicore, scorecore, video game music",Easy listening,Life,2017,2:43,2021-03-12
539,Manifest,Audiomachine,36,"epicore, scorecore, video game music",Easy listening,Ascendance,2018,2:56,2021-03-12
540,Conquering Olympus,Audiomachine,28,"epicore, scorecore, video game music",Easy listening,Ascendance,2018,2:31,2021-03-12
541,In the Conservatory With the Revolver,Audiomachine,23,"epicore, scorecore, video game music",Easy listening,Another Sky,2020,2:13,2021-03-12
542,Wait for It,Audiomachine,22,"epicore, scorecore, video game music",Easy listening,Volturnus,2018,2:21,2021-03-12
543,Intersections of Time,"Martyn Corbet,Audiomachine",23,"epicore, scorecore, video game music",Easy listening,Exogenesis,2019,2:36,2021-03-12
544,Highlander's Hymn,Audiomachine,23,"epicore, scorecore, video game music",Easy listening,Another Sky,2020,2:29,2021-03-12
545,Russian Spring,Audiomachine,26,"epicore, scorecore, video game music",Easy listening,La Belle Époque,2018,4:23,2021-03-12
546,To Dwell on Dreams,Audiomachine,24,"epicore, scorecore, video game music",Easy listening,Another Sky,2020,2:46,2021-03-12
547,Vindication,Audiomachine,24,"epicore, scorecore, video game music",Easy listening,Another Sky,2020,2:34,2021-03-12
548,Without You,Audiomachine,19,"epicore, scorecore, video game music",Easy listening,Trailerized: Covers and Originals,2019,2:18,2021-03-12
549,Noble Companion,Audiomachine,23,"epicore, scorecore, video game music",Easy listening,La Belle Époque,2018,3:28,2021-03-12
550,The Big Smoke,Audiomachine,29,"epicore, scorecore, video game music",Easy listening,La Belle Époque,2018,2:42,2021-03-12
551,Hunted,Steve Jablonsky,46,"epicore, scorecore, soundtrack, video game music",Easy listening,Transformers: Age of Extinction (Music from the Motion Picture) - EP,2014,5:57,2021-03-12
552,Dark Matter,Les Friction,42,"epicore, modern alternative rock","Easy listening, Rock",Dark Matter,2017,4:48,2021-03-12
553,Ghostblade,MythFox,34,epicore,Easy listening,Ghostblade,2017,4:50,2021-03-12
554,Call Of The North,Niklas Johansson,41,,,One Last Mission,2019,3:09,2021-03-12
555,Hank's Back,Lil Hank,32,gaming edm,Dance/Electronic,EDM's Last Hope II,2019,3:46,2021-03-12
556,Remember Me,"Nomyn,Veela",34,chillstep,,Remember Me,2018,3:52,2021-03-12
557,Superheroes - Formal One Remix,"Soul Extract,Formal One",38,"future rock, progressive trance","Metal, Dance/Electronic",Filaments (Deluxe Edition),2018,4:27,2021-03-12
558,Mystery Card,Harald Revery,34,,,Mystery Card,2017,2:50,2021-03-12
559,The Guardian of Angels,NIVIRO,54,gaming edm,Dance/Electronic,The Guardian of Angels,2017,3:35,2021-03-12
560,Starfire,Spencer Maro,39,,,Starfire,2018,3:56,2021-03-12
561,Miracle,"Uplink,Rosenfeld",48,"gaming edm, pop edm,",Dance/Electronic,Miracle,2020,3:15,2021-03-12
562,Gasoline,Valence,0,,,Gasoline,2017,2:49,2021-03-12
563,KIKO,Panda Eyes,46,"edm, gaming edm, speedrun",Dance/Electronic,KIKO,2015,5:12,2021-03-12
564,Shining,ROY KNOX,48,gaming edm,Dance/Electronic,Shining,2019,2:37,2021-03-12
565,Stronger (Champion Remix),"Lemon Fight,Champion",47,,,Stronger (Champion Remix),2018,4:19,2021-03-12
566,Sunlight,"Abandoned,Nilka",44,"gaming edm, melodic dubstep,",Dance/Electronic,Sunlight,2019,3:36,2021-03-12
567,Leaving You,PsoGnar,33,gaming dubstep,Dance/Electronic,Leaving You,2018,4:38,2021-03-12
568,Tessa,Steve Jablonsky,60,"epicore, scorecore, soundtrack, video game music",Easy listening,Transformers: Age of Extinction (Music from the Motion Picture) - EP,2014,5:45,2021-03-12
569,Redshift,Audiomachine,46,"epicore, scorecore, video game music",Easy listening,Volturnus,2018,3:53,2021-03-12
570,The Swan,Audiomachine,23,"epicore, scorecore, video game music",Easy listening,Reimagined,2020,3:03,2021-03-12
571,Piano Concerto No. 1,Audiomachine,19,"epicore, scorecore, video game music",Easy listening,Reimagined,2020,2:55,2021-03-12
572,Deceit and Betrayal,Audiomachine,36,"epicore, scorecore, video game music",Easy listening,La Belle Époque,2018,2:37,2021-03-12
573,The Stars Align,Audiomachine,28,"epicore, scorecore, video game music",Easy listening,Another Sky,2020,3:21,2021-03-12
574,King of the World,WAR*HALL,0,"modern alternative rock, rebel blues","Rock, Blues",King of the World,2018,3:39,2021-03-12
575,Zombie,Damned Anthem,0,epicore,Easy listening,Uncovered,2018,2:47,2021-03-12
576,Empathy,Audiomachine,38,"epicore, scorecore, video game music",Easy listening,La Belle Époque,2018,2:35,2021-03-12
577,Unbroken,Audiomachine,24,"epicore, scorecore, video game music",Easy listening,Decimus,2015,2:53,2021-03-12
578,The Crimson Drawing Room,Audiomachine,26,"epicore, scorecore, video game music",Easy listening,Another Sky,2020,1:57,2021-03-12
579,Ave Maria,Audiomachine,25,"epicore, scorecore, video game music",Easy listening,Reimagined,2020,3:28,2021-03-12
580,Arabesque,Audiomachine,21,"epicore, scorecore, video game music",Easy listening,Reimagined,2020,3:20,2021-03-12
581,Where I Am,"Meisym,Flx",37,"traprun,",Dance/Electronic,Where I Am,2019,3:05,2021-03-12
582,Gummy,neverlander,28,,,Gummy,2019,3:27,2021-03-12
583,Skulls & Trombones,"Two Steps from Hell,Thomas Bergersen",42,"epicore, soundtrack, video game music",Easy listening,Dragon,2019,4:04,2021-03-12
584,Arrival to Earth,Steve Jablonsky,62,"epicore, scorecore, soundtrack, video game music",Easy listening,Transformers: The Score,2007,5:26,2021-03-12
585,Nothing Is As It Seems,"Hidden Citizens,Ruelle",49,"epicore, modern alternative rock, electropop, indie poptimism, metropopolis, pop","Pop, Easy listening, Dance/Electronic, Rock",Nothing Is As It Seems,2020,3:13,2021-03-12
586,Lords of Iron,Antti Martikainen,44,epicore,Easy listening,Northern Steel,2017,9:10,2021-03-12
587,Children of the Sun (feat. Merethe Soltvedt),"Thomas Bergersen,Merethe Soltvedt",54,"epicore, soundtrack, video game music,",Easy listening,Children of the Sun (feat. Merethe Soltvedt),2015,4:42,2021-03-12
588,House of the Rising Sun,Audiomachine,41,"epicore, scorecore, video game music",Easy listening,Trailerized: Covers and Originals,2019,2:19,2021-03-12
589,Leap of Faith,Audiomachine,52,"epicore, scorecore, video game music",Easy listening,Ascendance,2018,3:24,2021-03-12
590,So Say We All,Audiomachine,49,"epicore, scorecore, video game music",Easy listening,Volturnus,2018,3:19,2021-03-12
591,We Are Gods,Audiomachine,55,"epicore, scorecore, video game music",Easy listening,We Are Gods,2020,2:55,2021-03-12
592,Guardians At the Gate,Audiomachine,58,"epicore, scorecore, video game music",Easy listening,Chronicles,2012,2:08,2021-03-12
593,Wars of Faith,Audiomachine,49,"epicore, scorecore, video game music",Easy listening,Magnus,2015,3:53,2021-03-12
594,Awaken,StoneOcean,21,,,Awaken,2014,3:28,2021-03-12
595,Breath and Life,Audiomachine,50,"epicore, scorecore, video game music",Easy listening,Chronicles,2012,1:50,2021-03-12
596,Invisible Man,The Electric Swing Circus,35,"electro swing, nu jazz","Easy listening, Dance/Electronic",Connected / Invisible Man,2019,3:23,2021-03-12
597,Better Off Dead,8 Graves,2,"indie poptimism, rebel blues","Pop, Blues",Better Off Dead,2020,3:11,2021-03-12
598,I Don't Mind,Like Saturn,11,,,Alpharetta,2020,2:35,2021-03-12
599,spearhead,updog,3,,,spearhead,2020,2:01,2021-03-12
600,My Home,Adro,25,,,My Home,2020,3:19,2021-03-12
601,If You Really Want It,"xChenda,Lola Rhodes",29,"traprun, viral pop","Dance/Electronic, Pop",If You Really Want It,2020,3:16,2021-03-12
602,Excalibur,Ryllz,27,"dutch edm, traprun",Dance/Electronic,Excalibur,2020,2:31,2021-03-12
603,Heart Shaped Box,"Cafe Disko,DIVMOND",41,,,Heart Shaped Box,2019,4:15,2021-03-12
604,Reach - Original Mix,Chrisson,24,gaming edm,Dance/Electronic,Electrified Vol. 1,2012,6:39,2021-03-12
605,Chase Pop,Neovaii,39,"bass trap, pop edm, traprun",Dance/Electronic,Horizon,2018,3:30,2021-03-12
606,Take It Back,Neovaii,42,"bass trap, pop edm, traprun",Dance/Electronic,Closure,2019,3:38,2021-03-12
607,Should've Started,Neovaii,46,"bass trap, pop edm, traprun",Dance/Electronic,Onward,2018,3:46,2021-03-12
608,Your Eyes,Neovaii,49,"bass trap, pop edm, traprun",Dance/Electronic,Onward,2018,3:32,2021-03-12
609,Mirage,"Egzod,Leo The Kind",40,"bass trap, gaming edm, pop edm, traprun, brockton hip hop","Dance/Electronic, Hip Hop",Mirage,2018,3:27,2021-03-12
610,Better with You,Egzod,36,"bass trap, gaming edm, pop edm, traprun",Dance/Electronic,Better with You,2019,3:02,2021-03-12
611,Face the Facts,"Egzod,Evoke",34,"bass trap, gaming edm, pop edm, traprun,",Dance/Electronic,Face the Facts,2020,2:39,2021-03-12
612,Alpha,TOMYGONE,20,"bass trap, traprun",Dance/Electronic,Alpha,2018,3:28,2021-03-12
613,Epsilon,TOMYGONE,22,"bass trap, traprun",Dance/Electronic,Epsilon,2018,3:02,2021-03-12
614,This Moment,Paapi Muzik,26,traprun,Dance/Electronic,This Moment,2018,3:22,2021-03-12
615,Stay And Decay,Unlike Pluto,54,"bass trap, indie poptimism, modern alternative rock","Dance/Electronic, Pop, Rock",Stay And Decay,2019,3:45,2021-03-12
616,Love for Duty,Paolo Buonvino,0,"deep soundtrack, italian soundtrack",Easy listening,I Medici (Original Soundtrack),2019,3:20,2021-03-12
617,Vision,Paolo Buonvino,0,"deep soundtrack, italian soundtrack",Easy listening,I Medici (Original Soundtrack),2019,3:31,2021-03-12
618,Lorenzo The Magnificent,Paolo Buonvino,0,"deep soundtrack, italian soundtrack",Easy listening,I Medici (Original Soundtrack),2019,2:27,2021-03-12
619,Ride 4 U - Barren Gates Remix,"Dutch Melrose,Lacey James,Barren Gates",41,"trap soul, bass trap, gaming edm, traprun","Dance/Electronic, R&B",Ride 4 U Remixes,2019,4:00,2021-03-12
620,Ghosts (Barren Gates Remix),"Jenna Lotti,Barren Gates",40,"bass trap, gaming edm, traprun",Dance/Electronic,Ghosts (Barren Gates Remix),2019,3:50,2021-03-12
621,Heartless,"Coopex,Tim Moyo",39,"traprun,",Dance/Electronic,Heartless,2020,4:05,2021-03-12
622,Toss a Coin to Your Witcher,Kløn,52,,,Toss a Coin to Your Witcher,2020,4:36,2021-03-12
623,Lift Me Up,"LBLVNC,Dawn & Prax,Majes",32,"traprun,",Dance/Electronic,Lift Me Up,2019,3:32,2021-03-12
624,Dance Of The Little Swans,"Flawx,B2G",33,,,Dance Of The Little Swans,2019,3:45,2021-03-12
625,Runaway - Heuse Remix,"Halcyon,Valentina Franco,Heuse",53,"gaming edm, pop edm, traprun",Dance/Electronic,Runaway (Heuse Remix),2019,2:09,2021-03-12
626,Losing Our Minds,"Taska Black,Nevve",45,"bass trap, edm, electronic trap, electropop, future bass, indie electropop, pop edm, traprun, vapor twitch,","Dance/Electronic, Pop",Losing Our Minds,2018,3:28,2021-03-12
627,Elements - Orchestral Remix,Lindsey Stirling,27,"bow pop, pop violin","Classical, New age",Lindsey Stirling,2012,4:08,2021-03-12
628,Master Of Tides,Lindsey Stirling,21,"bow pop, pop violin","Classical, New age",Shatter Me,2014,4:21,2021-03-12
629,Aurora,Lindsey Stirling,45,"bow pop, pop violin","Classical, New age",Artemis,2019,3:35,2021-03-12
630,Masquerade,Lindsey Stirling,48,"bow pop, pop violin","Classical, New age",Artemis,2019,3:21,2021-03-12
631,The Upside,Lindsey Stirling,45,"bow pop, pop violin","Classical, New age",Artemis,2019,3:47,2021-03-12
632,Love Goes On And On (feat. Amy Lee),"Lindsey Stirling,Amy Lee",50,"bow pop, pop violin,","Classical, New age",Artemis,2019,4:06,2021-03-12
633,In The Name Of God (Deus Vult),Powerwolf,42,"german metal, german power metal, metal, power metal",Metal,Preachers Of The Night (Deluxe Edition),2013,3:15,2021-03-12
634,Carol Of The Bells,Lindsey Stirling,59,"bow pop, pop violin","Classical, New age",Warmer In The Winter (Deluxe Edition),2018,2:46,2021-03-12
635,7 Years (Acoustic) - Recorded at Spotify Studios Nyc,Lindsey Stirling,52,"bow pop, pop violin","Classical, New age",Spotify Singles,2016,2:27,2021-03-12
636,Roundtable Rival,Lindsey Stirling,49,"bow pop, pop violin","Classical, New age",Shatter Me,2014,3:23,2021-03-12
637,Crystallize,Lindsey Stirling,50,"bow pop, pop violin","Classical, New age",Lindsey Stirling,2012,4:18,2021-03-12
638,Artemis,Lindsey Stirling,53,"bow pop, pop violin","Classical, New age",Artemis,2019,3:53,2021-03-12
639,The Upside (feat. Elle King),"Lindsey Stirling,Elle King",55,"bow pop, pop violin, modern blues rock","Classical, Blues, New age",Artemis,2019,3:48,2021-03-12
640,Shatter Me,"Lindsey Stirling,Lzzy Hale",51,"bow pop, pop violin,","Classical, New age",Shatter Me,2014,4:40,2021-03-12
641,Underground,Lindsey Stirling,57,"bow pop, pop violin","Classical, New age",Artemis,2019,4:24,2021-03-12
642,Radioactive,"Pentatonix,Lindsey Stirling",59,"a cappella, bow pop, pop violin","Jazz, Classical, New age",PTX,2014,3:46,2021-03-12
643,Bon Voyage,DROELOE,46,"bass trap, edm, electronic trap, electropop, future bass, pop edm, vapor soul, vapor twitch","Dance/Electronic, Pop",Bon Voyage,2016,4:14,2021-03-12
644,Feel It (feat. CXLOE & Khamsin) - Vincent Remix,"KRANE,CXLOE,Khamsin,Vincent",18,"bass trap, electronic trap, future bass, pop edm, traprun, vapor twitch, australian alternative pop, australian electropop, australian pop, electropop, indie electropop, edm","Pop, Dance/Electronic",Fallout (The Remixes),2018,3:17,2021-03-12
645,They Know Me,BoyPanda,35,traprun,Dance/Electronic,They Know Me,2017,3:12,2021-03-12
646,Save Your Soul,"Nimez,Harley Bird",16,"traprun, la pop","Pop, Dance/Electronic",Save Your Soul,2019,3:44,2021-03-12
647,Undivided,BRAN,42,traprun,Dance/Electronic,Undivided,2019,2:29,2021-03-12
648,Exposure,Icy Lust,1,,,Exposure,2017,4:00,2021-03-12
649,UTOPIA,MANSHN,40,,,UTOPIA,2019,4:22,2021-03-12
650,DROWN,AViVA,41,vapor pop,Dance/Electronic,DROWN,2018,3:18,2021-03-12
